umaban	ketto	rank	score	generated_at
1	2023104101	2	0.977248612247307	2026-08-15 20:03:55.752149+00:00
2	2023106517	6	-0.886219599837709	2026-08-15 20:03:55.752149+00:00
3	2023105555	5	0.360969246413635	2026-08-15 20:03:55.752149+00:00
4	2023104415	13	-2.33037699264689	2026-08-15 20:03:55.752149+00:00
5	2023105608	4	0.698787678723725	2026-08-15 20:03:55.752149+00:00
6	2023106294	14	-2.66478319037201	2026-08-15 20:03:55.752149+00:00
7	2023102101	10	-1.47452730326327	2026-08-15 20:03:55.752149+00:00
8	2023100580	9	-1.18657488852461	2026-08-15 20:03:55.752149+00:00
9	2023102063	11	-1.96267988630225	2026-08-15 20:03:55.752149+00:00
10	2023101145	3	0.711237033594316	2026-08-15 20:03:55.752149+00:00
11	2023100950	7	-1.01262223998276	2026-08-15 20:03:55.752149+00:00
12	2023105785	12	-2.14426979580324	2026-08-15 20:03:55.752149+00:00
13	2023101091	1	1.20836095649251	2026-08-15 20:03:55.752149+00:00
14	2023104632	8	-1.10796028323646	2026-08-15 20:03:55.752149+00:00
