umaban	ketto	rank	score	generated_at	model	odds_score
1	2120250207	6	-1.02016593230518	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
2	2120250179	8	-1.06337502391207	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
3	2120250280	2	-0.910728845783496	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
4	2120250181	3	-0.969913489944746	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
5	2120250031	5	-0.984495169978613	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
6	2120250357	7	-1.02873414084735	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
7	2120250026	4	-0.970501501120248	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
8	2120250056	10	-1.18650158918945	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
9	2120250117	9	-1.07889031680086	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
10	2120250269	1	-0.901750603379204	2026-08-15 20:50:14.784521+00:00	banei-cb-v9-sim-2011	0.5048
