umaban	ketto	rank	score	generated_at	model	odds_score
1	2024100215	5	0.305480360984802	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
2	2024108095	9	-0.304576545953751	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
3	2024104485	10	-0.679554641246796	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
4	2024107120	1	1.1134786605835	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
5	2024102141	2	0.541182041168213	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
6	2024100778	3	0.495949953794479	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
7	2024100787	7	-0.121622167527676	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
8	2024104875	11	-0.943431258201599	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
9	2024107262	6	0.147356361150742	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
10	2024103277	8	-0.247126996517181	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
11	2024108051	4	0.397608399391174	2026-08-15 20:31:30.229069+00:00	iter12-nar-xgb-hpo-v8-stage1-marketfree-184	0.5048
